Id,DateTime,HttpMethod,AbsoluteUri,PathInfo,RequestBody,RequestDto,UserAuthId,SessionId,IpAddress,ForwardedFor,Referer,Headers,FormData,Items,Session,ResponseDto,ErrorResponse,RequestDuration
21,2016-04-13T21:21:28.6402944Z,GET,http://localhost:55799/json/reply/CustomHttpError,/json/reply/CustomHttpError,,{StatusCode:0},3,b4ctpvV7zFHtSMBWOwya,::1,,,"{Connection:keep-alive,Accept:""text/html,application/xhtml+xml,application/xml;q=0.9,image/webp,*/*;q=0.8"",Accept-Encoding:""gzip, deflate, sdch"",Accept-Language:""en-US,en;q=0.8"",Cookie:_ga=GA1.1.1592632894.1443244591; __utma=111872281.1592632894.1443244591.1457727021.1459534479.12; __utmc=111872281; __utmz=111872281.1454897587.1.1.utmcsr=(direct)|utmccn=(direct)|utmcmd=(none); ss-id=b4ctpvV7zFHtSMBWOwya; ss-pid=igyyWJIl7IUZkzZHExbt; X-UAId=3,Host:""localhost:55799"",User-Agent:""Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.112 Safari/537.36"",Upgrade-Insecure-Requests:1}",{},"{AspSessionIDManagerInitializeRequestCalled:True,"":mini-profiler:"":""http://localhost:55799/json/reply/CustomHttpError (28.9 ms)"",_requestDurationStopwatch:System.Diagnostics.Stopwatch}",,,"{ResponseStatus:{ErrorCode:0,Message:0,StackTrace:""[CustomHttpError: 4/13/2016 9:21:28 PM]:
[REQUEST: {StatusCode:0}]
ServiceStack.HttpError: 0
   at Check.ServiceInterface.CustomHttpErrorService.Any(CustomHttpError request) in C:\src\ServiceStack\tests\Check.ServiceInterface\ErrorServices.cs:line 11
   at lambda_method(Closure , Object , Object )
   at ServiceStack.Host.ServiceRunner`1.Execute(IRequest request, Object instance, TRequest requestDto) in C:\src\ServiceStack\src\ServiceStack\Host\ServiceRunner.cs:line 104"",Errors:[]}}",PT0.0228031S
24,2016-04-13T21:21:42.8043166Z,GET,http://localhost:55799/json/reply/CustomHttpError?StatusCode=401,/json/reply/CustomHttpError,,{StatusCode:401},3,b4ctpvV7zFHtSMBWOwya,::1,,,"{Connection:keep-alive,Accept:""text/html,application/xhtml+xml,application/xml;q=0.9,image/webp,*/*;q=0.8"",Accept-Encoding:""gzip, deflate, sdch"",Accept-Language:""en-US,en;q=0.8"",Cookie:_ga=GA1.1.1592632894.1443244591; __utma=111872281.1592632894.1443244591.1457727021.1459534479.12; __utmc=111872281; __utmz=111872281.1454897587.1.1.utmcsr=(direct)|utmccn=(direct)|utmcmd=(none); ss-id=b4ctpvV7zFHtSMBWOwya; ss-pid=igyyWJIl7IUZkzZHExbt; X-UAId=3,Host:""localhost:55799"",User-Agent:""Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.112 Safari/537.36"",Upgrade-Insecure-Requests:1}",{},"{AspSessionIDManagerInitializeRequestCalled:True,"":mini-profiler:"":""http://localhost:55799/json/reply/CustomHttpError?StatusCode=401 (1.5 ms)"",_requestDurationStopwatch:System.Diagnostics.Stopwatch}",,,"{ResponseStatus:{ErrorCode:401,Message:401,StackTrace:""[CustomHttpError: 4/13/2016 9:21:42 PM]:
[REQUEST: {StatusCode:401}]
ServiceStack.HttpError: 401
   at Check.ServiceInterface.CustomHttpErrorService.Any(CustomHttpError request) in C:\src\ServiceStack\tests\Check.ServiceInterface\ErrorServices.cs:line 11
   at lambda_method(Closure , Object , Object )
   at ServiceStack.Host.ServiceRunner`1.Execute(IRequest request, Object instance, TRequest requestDto) in C:\src\ServiceStack\src\ServiceStack\Host\ServiceRunner.cs:line 104"",Errors:[]}}",PT0.0002784S
26,2016-04-13T21:23:36.3177313Z,GET,http://localhost:55799/json/reply/CustomHttpError?StatusCode=500,/json/reply/CustomHttpError,,{StatusCode:500},3,b4ctpvV7zFHtSMBWOwya,::1,,,"{Connection:keep-alive,Accept:""text/html,application/xhtml+xml,application/xml;q=0.9,image/webp,*/*;q=0.8"",Accept-Encoding:""gzip, deflate, sdch"",Accept-Language:""en-US,en;q=0.8"",Cookie:_ga=GA1.1.1592632894.1443244591; __utma=111872281.1592632894.1443244591.1457727021.1459534479.12; __utmc=111872281; __utmz=111872281.1454897587.1.1.utmcsr=(direct)|utmccn=(direct)|utmcmd=(none); ss-id=b4ctpvV7zFHtSMBWOwya; ss-pid=igyyWJIl7IUZkzZHExbt; X-UAId=3,Host:""localhost:55799"",User-Agent:""Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.112 Safari/537.36"",Upgrade-Insecure-Requests:1}",{},"{AspSessionIDManagerInitializeRequestCalled:True,"":mini-profiler:"":""http://localhost:55799/json/reply/CustomHttpError?StatusCode=500 (1.2 ms)"",_requestDurationStopwatch:System.Diagnostics.Stopwatch}",,,"{ResponseStatus:{ErrorCode:500,Message:500,StackTrace:""[CustomHttpError: 4/13/2016 9:23:36 PM]:
[REQUEST: {StatusCode:500}]
ServiceStack.HttpError: 500
   at Check.ServiceInterface.CustomHttpErrorService.Any(CustomHttpError request) in C:\src\ServiceStack\tests\Check.ServiceInterface\ErrorServices.cs:line 11
   at lambda_method(Closure , Object , Object )
   at ServiceStack.Host.ServiceRunner`1.Execute(IRequest request, Object instance, TRequest requestDto) in C:\src\ServiceStack\src\ServiceStack\Host\ServiceRunner.cs:line 104"",Errors:[]}}",PT0.0003663S
28,2016-04-13T21:23:38.1214785Z,GET,http://localhost:55799/json/reply/CustomHttpError?StatusCode=501,/json/reply/CustomHttpError,,{StatusCode:501},3,b4ctpvV7zFHtSMBWOwya,::1,,,"{Connection:keep-alive,Accept:""text/html,application/xhtml+xml,application/xml;q=0.9,image/webp,*/*;q=0.8"",Accept-Encoding:""gzip, deflate, sdch"",Accept-Language:""en-US,en;q=0.8"",Cookie:_ga=GA1.1.1592632894.1443244591; __utma=111872281.1592632894.1443244591.1457727021.1459534479.12; __utmc=111872281; __utmz=111872281.1454897587.1.1.utmcsr=(direct)|utmccn=(direct)|utmcmd=(none); ss-id=b4ctpvV7zFHtSMBWOwya; ss-pid=igyyWJIl7IUZkzZHExbt; X-UAId=3,Host:""localhost:55799"",User-Agent:""Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.112 Safari/537.36"",Upgrade-Insecure-Requests:1}",{},"{AspSessionIDManagerInitializeRequestCalled:True,"":mini-profiler:"":""http://localhost:55799/json/reply/CustomHttpError?StatusCode=501 (0.8 ms)"",_requestDurationStopwatch:System.Diagnostics.Stopwatch}",,,"{ResponseStatus:{ErrorCode:501,Message:501,StackTrace:""[CustomHttpError: 4/13/2016 9:23:38 PM]:
[REQUEST: {StatusCode:501}]
ServiceStack.HttpError: 501
   at Check.ServiceInterface.CustomHttpErrorService.Any(CustomHttpError request) in C:\src\ServiceStack\tests\Check.ServiceInterface\ErrorServices.cs:line 11
   at lambda_method(Closure , Object , Object )
   at ServiceStack.Host.ServiceRunner`1.Execute(IRequest request, Object instance, TRequest requestDto) in C:\src\ServiceStack\src\ServiceStack\Host\ServiceRunner.cs:line 104"",Errors:[]}}",PT0.0002396S
44,2016-04-13T21:24:34.0818786Z,GET,http://localhost:55799/movies,/movies,,{},3,b4ctpvV7zFHtSMBWOwya,::1,,,"{Connection:keep-alive,Accept:""text/html,application/xhtml+xml,application/xml;q=0.9,image/webp,*/*;q=0.8"",Accept-Encoding:""gzip, deflate, sdch"",Accept-Language:""en-US,en;q=0.8"",Cookie:_ga=GA1.1.1592632894.1443244591; __utma=111872281.1592632894.1443244591.1457727021.1459534479.12; __utmc=111872281; __utmz=111872281.1454897587.1.1.utmcsr=(direct)|utmccn=(direct)|utmcmd=(none); ss-id=b4ctpvV7zFHtSMBWOwya; ss-pid=igyyWJIl7IUZkzZHExbt; X-UAId=3,Host:""localhost:55799"",User-Agent:""Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.112 Safari/537.36"",Upgrade-Insecure-Requests:1}",{},"{AspSessionIDManagerInitializeRequestCalled:True,"":mini-profiler:"":""http://localhost:55799/movies (28.4 ms)"",__route:ServiceStack.Host.RestPath,_requestDurationStopwatch:System.Diagnostics.Stopwatch}",,,"{Offset:0,Total:0,ResponseStatus:{ErrorCode:SqliteException,Message:""SQLite error
no such table: Movie"",StackTrace:""[QueryMovies: 4/13/2016 9:24:34 PM]:
[REQUEST: {}]
Mono.Data.Sqlite.SqliteException (0x80004005): SQLite error
no such table: Movie
   at Mono.Data.Sqlite.SQLite3.Prepare(SqliteConnection cnn, String strSql, SqliteStatement previous, UInt32 timeoutMS, String& strRemain)
   at Mono.Data.Sqlite.SqliteCommand.BuildNextCommand()
   at Mono.Data.Sqlite.SqliteCommand.GetStatement(Int32 index)
   at Mono.Data.Sqlite.SqliteDataReader.NextResult()
   at Mono.Data.Sqlite.SqliteDataReader..ctor(SqliteCommand cmd, CommandBehavior behave)
   at Mono.Data.Sqlite.SqliteCommand.ExecuteReader(CommandBehavior behavior)
   at Mono.Data.Sqlite.SqliteCommand.ExecuteDbDataReader(CommandBehavior behavior)
   at System.Data.Common.DbCommand.System.Data.IDbCommand.ExecuteReader()
   at ServiceStack.OrmLite.OrmLiteCommand.ExecuteReader() in C:\src\ServiceStack.OrmLite\src\ServiceStack.OrmLite\OrmLiteCommand.cs:line 48
   at ServiceStack.OrmLite.OrmLiteReadCommandExtensions.ExecReader(IDbCommand dbCmd, String sql) in C:\src\ServiceStack.OrmLite\src\ServiceStack.OrmLite\OrmLiteReadCommandExtensions.cs:line 44
   at ServiceStack.OrmLite.OrmLiteResultsFilterExtensions.ExprConvertToList[T](IDbCommand dbCmd, String sql, IEnumerable`1 sqlParams, HashSet`1 onlyFields) in C:\src\ServiceStack.OrmLite\src\ServiceStack.OrmLite\OrmLiteResultsFilterExtensions.cs:line 135
   at ServiceStack.OrmLite.Support.LoadList`2..ctor(IDbCommand dbCmd, SqlExpression`1 q) in C:\src\ServiceStack.OrmLite\src\ServiceStack.OrmLite\Support\LoadList.cs:line 43
   at ServiceStack.OrmLite.Support.LoadListSync`2..ctor(IDbCommand dbCmd, SqlExpression`1 q) in C:\src\ServiceStack.OrmLite\src\ServiceStack.OrmLite\Support\LoadList.cs:line 194
   at ServiceStack.OrmLite.OrmLiteReadCommandExtensions.LoadListWithReferences[Into,From](IDbCommand dbCmd, SqlExpression`1 expr, IEnumerable`1 include) in C:\src\ServiceStack.OrmLite\src\ServiceStack.OrmLite\OrmLiteReadCommandExtensions.cs:line 925
   at ServiceStack.OrmLite.ReadExpressionCommandExtensions.LoadSelect[Into,From](IDbCommand dbCmd, SqlExpression`1 expression, IEnumerable`1 include) in C:\src\ServiceStack.OrmLite\src\ServiceStack.OrmLite\Expressions\ReadExpressionCommandExtensions.cs:line 161
   at ServiceStack.OrmLite.OrmLiteReadExpressionsApi.<>c__DisplayClass38_0`2.<LoadSelect>b__0(IDbCommand dbCmd) in C:\src\ServiceStack.OrmLite\src\ServiceStack.OrmLite\OrmLiteReadExpressionsApi.cs:line 334
   at ServiceStack.OrmLite.OrmLiteExecFilter.Exec[T](IDbConnection dbConn, Func`2 filter) in C:\src\ServiceStack.OrmLite\src\ServiceStack.OrmLite\OrmLiteExecFilter.cs:line 61
   at ServiceStack.OrmLite.OrmLiteReadExpressionsApi.Exec[T](IDbConnection dbConn, Func`2 filter) in C:\src\ServiceStack.OrmLite\src\ServiceStack.OrmLite\OrmLiteReadExpressionsApi.cs:line 14
   at ServiceStack.OrmLite.OrmLiteReadExpressionsApi.LoadSelect[Into,From](IDbConnection dbConn, SqlExpression`1 expression, IEnumerable`1 include) in C:\src\ServiceStack.OrmLite\src\ServiceStack.OrmLite\OrmLiteReadExpressionsApi.cs:line 334
   at ServiceStack.TypedQuery`2.Execute[Into](IDbConnection db, ISqlExpression query) in C:\src\ServiceStack\src\ServiceStack.Server\AutoQueryFeature.cs:line 910"",Errors:[]}}",PT0.0265886S
49,2016-04-13T21:24:59.7942846Z,GET,http://localhost:55799/throw404,/throw404,,{},3,b4ctpvV7zFHtSMBWOwya,::1,,,"{Connection:keep-alive,Accept:""text/html,application/xhtml+xml,application/xml;q=0.9,image/webp,*/*;q=0.8"",Accept-Encoding:""gzip, deflate, sdch"",Accept-Language:""en-US,en;q=0.8"",Cookie:_ga=GA1.1.1592632894.1443244591; __utma=111872281.1592632894.1443244591.1457727021.1459534479.12; __utmc=111872281; __utmz=111872281.1454897587.1.1.utmcsr=(direct)|utmccn=(direct)|utmcmd=(none); ss-id=b4ctpvV7zFHtSMBWOwya; ss-pid=igyyWJIl7IUZkzZHExbt; X-UAId=3,Host:""localhost:55799"",User-Agent:""Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.112 Safari/537.36"",Upgrade-Insecure-Requests:1}",{},"{AspSessionIDManagerInitializeRequestCalled:True,"":mini-profiler:"":""http://localhost:55799/throw404 (3.7 ms)"",__route:ServiceStack.Host.RestPath,_requestDurationStopwatch:System.Diagnostics.Stopwatch}",,,"{ResponseStatus:{ErrorCode:NotFound,Message:Custom Status Description,StackTrace:""[Throw404: 4/13/2016 9:24:59 PM]:
[REQUEST: {}]
ServiceStack.HttpError: Custom Status Description
   at Check.ServiceInterface.ErrorsService.Any(Throw404 request) in C:\src\ServiceStack\tests\Check.ServiceInterface\ErrorsService.cs:line 19
   at lambda_method(Closure , Object , Object )
   at ServiceStack.Host.ServiceRunner`1.Execute(IRequest request, Object instance, TRequest requestDto) in C:\src\ServiceStack\src\ServiceStack\Host\ServiceRunner.cs:line 104"",Errors:[]}}",PT0.0019871S
51,2016-04-13T21:25:09.2693872Z,GET,http://localhost:55799/throw404/not-here-anymore,/throw404/not-here-anymore,,{Message:not-here-anymore},3,b4ctpvV7zFHtSMBWOwya,::1,,,"{Connection:keep-alive,Accept:""text/html,application/xhtml+xml,application/xml;q=0.9,image/webp,*/*;q=0.8"",Accept-Encoding:""gzip, deflate, sdch"",Accept-Language:""en-US,en;q=0.8"",Cookie:_ga=GA1.1.1592632894.1443244591; __utma=111872281.1592632894.1443244591.1457727021.1459534479.12; __utmc=111872281; __utmz=111872281.1454897587.1.1.utmcsr=(direct)|utmccn=(direct)|utmcmd=(none); ss-id=b4ctpvV7zFHtSMBWOwya; ss-pid=igyyWJIl7IUZkzZHExbt; X-UAId=3,Host:""localhost:55799"",User-Agent:""Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.112 Safari/537.36"",Upgrade-Insecure-Requests:1}",{},"{AspSessionIDManagerInitializeRequestCalled:True,"":mini-profiler:"":""http://localhost:55799/throw404/not-here-anymore (1.4 ms)"",__route:ServiceStack.Host.RestPath,_requestDurationStopwatch:System.Diagnostics.Stopwatch}",,,"{ResponseStatus:{ErrorCode:NotFound,Message:not-here-anymore,StackTrace:""[Throw404: 4/13/2016 9:25:09 PM]:
[REQUEST: {Message:not-here-anymore}]
ServiceStack.HttpError: not-here-anymore
   at Check.ServiceInterface.ErrorsService.Any(Throw404 request) in C:\src\ServiceStack\tests\Check.ServiceInterface\ErrorsService.cs:line 19
   at lambda_method(Closure , Object , Object )
   at ServiceStack.Host.ServiceRunner`1.Execute(IRequest request, Object instance, TRequest requestDto) in C:\src\ServiceStack\src\ServiceStack\Host\ServiceRunner.cs:line 104"",Errors:[]}}",PT0.0003172S
