Id,DateTime,HttpMethod,AbsoluteUri,PathInfo,RequestBody,RequestDto,UserAuthId,SessionId,IpAddress,ForwardedFor,Referer,Headers,FormData,Items,Session,ResponseDto,ErrorResponse,RequestDuration
21,2016-04-13T21:21:28.6402944Z,GET,http://localhost:55799/json/reply/CustomHttpError,/json/reply/CustomHttpError,,{StatusCode:0},3,b4ctpvV7zFHtSMBWOwya,::1,,,"{Connection:keep-alive,Accept:""text/html,application/xhtml+xml,application/xml;q=0.9,image/webp,*/*;q=0.8"",Accept-Encoding:""gzip, deflate, sdch"",Accept-Language:""en-US,en;q=0.8"",Cookie:_ga=GA1.1.1592632894.1443244591; __utma=111872281.1592632894.1443244591.1457727021.1459534479.12; __utmc=111872281; __utmz=111872281.1454897587.1.1.utmcsr=(direct)|utmccn=(direct)|utmcmd=(none); ss-id=b4ctpvV7zFHtSMBWOwya; ss-pid=igyyWJIl7IUZkzZHExbt; X-UAId=3,Host:""localhost:55799"",User-Agent:""Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.112 Safari/537.36"",Upgrade-Insecure-Requests:1}",{},"{AspSessionIDManagerInitializeRequestCalled:True,"":mini-profiler:"":""http://localhost:55799/json/reply/CustomHttpError (28.9 ms)"",_requestDurationStopwatch:System.Diagnostics.Stopwatch}",,,"{ResponseStatus:{ErrorCode:0,Message:0,StackTrace:""[CustomHttpError: 4/13/2016 9:21:28 PM]:
[REQUEST: {StatusCode:0}]
ServiceStack.HttpError: 0
   at Check.ServiceInterface.CustomHttpErrorService.Any(CustomHttpError request) in C:\src\ServiceStack\tests\Check.ServiceInterface\ErrorServices.cs:line 11
   at lambda_method(Closure , Object , Object )
   at ServiceStack.Host.ServiceRunner`1.Execute(IRequest request, Object instance, TRequest requestDto) in C:\src\ServiceStack\src\ServiceStack\Host\ServiceRunner.cs:line 104"",Errors:[]}}",PT0.0228031S
24,2016-04-13T21:21:42.8043166Z,GET,http://localhost:55799/json/reply/CustomHttpError?StatusCode=401,/json/reply/CustomHttpError,,{StatusCode:401},3,b4ctpvV7zFHtSMBWOwya,::1,,,"{Connection:keep-alive,Accept:""text/html,application/xhtml+xml,application/xml;q=0.9,image/webp,*/*;q=0.8"",Accept-Encoding:""gzip, deflate, sdch"",Accept-Language:""en-US,en;q=0.8"",Cookie:_ga=GA1.1.1592632894.1443244591; __utma=111872281.1592632894.1443244591.1457727021.1459534479.12; __utmc=111872281; __utmz=111872281.1454897587.1.1.utmcsr=(direct)|utmccn=(direct)|utmcmd=(none); ss-id=b4ctpvV7zFHtSMBWOwya; ss-pid=igyyWJIl7IUZkzZHExbt; X-UAId=3,Host:""localhost:55799"",User-Agent:""Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.112 Safari/537.36"",Upgrade-Insecure-Requests:1}",{},"{AspSessionIDManagerInitializeRequestCalled:True,"":mini-profiler:"":""http://localhost:55799/json/reply/CustomHttpError?StatusCode=401 (1.5 ms)"",_requestDurationStopwatch:System.Diagnostics.Stopwatch}",,,"{ResponseStatus:{ErrorCode:401,Message:401,StackTrace:""[CustomHttpError: 4/13/2016 9:21:42 PM]:
[REQUEST: {StatusCode:401}]
ServiceStack.HttpError: 401
   at Check.ServiceInterface.CustomHttpErrorService.Any(CustomHttpError request) in C:\src\ServiceStack\tests\Check.ServiceInterface\ErrorServices.cs:line 11
   at lambda_method(Closure , Object , Object )
   at ServiceStack.Host.ServiceRunner`1.Execute(IRequest request, Object instance, TRequest requestDto) in C:\src\ServiceStack\src\ServiceStack\Host\ServiceRunner.cs:line 104"",Errors:[]}}",PT0.0002784S
